id,response
1,"Je trouve que l'interface utilisateur est très intuitive et facile à utiliser. J'ai particulièrement apprécié la fonction de recherche avancée."
2,"L'application est trop lente à mon goût. Elle met beaucoup de temps à charger sur mon smartphone."
3,"L'app est merdique, navigation à chier, performance null!!!"
4,"J'aime beaucoup la simplicité de l'application. Elle fait exactement ce dont j'ai besoin sans fioritures inutiles."
5,"Il y a trop de bugs dans la dernière mise à jour. L'application se ferme souvent de manière inattendue quand j'essaie d'enregistrer mes modifications."
6,"Le service client est réactif et a résolu mon problème rapidement. Très satisfait de l'assistance."
7,"Je trouve le prix de l'abonnement premium trop élevé par rapport aux fonctionnalités offertes."
8,"L'application est intuitive mais manque de personnalisation. J'aimerais pouvoir changer les couleurs et la disposition des éléments."
9,"J'ai du mal à comprendre certaines fonctionnalités avancées. Un tutoriel plus détaillé serait vraiment utile."
10,"Excellente application, elle m'a fait gagner beaucoup de temps dans mon travail quotidien."
11,"Je pense que l'interface pourrait être plus moderne, elle semble un peu dépassée par rapport à la concurrence."
12,"La synchronisation entre mes différents appareils ne fonctionne pas correctement, ce qui est vraiment frustrant."
13,"J'apprécie les mises à jour régulières qui ajoutent de nouvelles fonctionnalités et corrigent les bugs."
14,"L'application est stable et fiable, je n'ai jamais rencontré de problèmes techniques."
15,"Je trouve la navigation dans les menus un peu confuse, il faudrait simplifier la structure." 
